Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
7/21/2000,1443.000000,1443.000000,1401.000000,1407.600000,1407.600000,1483.260000,-1.000000,-0.016799,962790.697674,0.000000,0.016799,1067428.878500,0.000000,931013.955949,0.000000,1072944.460362,0.000000
7/24/2000,1390.000000,1390.000000,1318.000000,1323.000000,1323.000000,1464.620000,-1.000000,-0.060102,904924.760602,0.000000,0.060102,1131583.811095,0.000000,875057.874198,0.000000,1137430.892122,0.000000
7/25/2000,1290.000000,1364.900000,1280.000000,1350.900000,1350.900000,1447.815000,-1.000000,0.021088,924008.207934,0.000000,-0.021088,1107720.479024,0.000000,893511.475627,0.000000,1113444.254261,0.000000
7/26/2000,1358.850000,1370.000000,1312.000000,1316.850000,1316.850000,1425.850000,-1.000000,-0.025205,900718.194254,0.000000,0.025205,1135641.037401,0.000000,870990.144851,0.000000,1141509.082789,0.000000
7/27/2000,1320.000000,1339.000000,1301.000000,1336.800000,1336.800000,1407.210000,-1.000000,0.015150,914363.885089,0.000000,-0.015150,1118436.314998,0.000000,884185.462001,0.000000,1124215.460735,0.000000
7/28/2000,1350.000000,1370.000000,1348.000000,1349.550000,1349.550000,1390.975000,-1.000000,0.009538,923084.815321,0.000000,-0.009538,1107769.002748,0.000000,892618.559429,0.000000,1113493.028715,0.000000
7/31/2000,1342.000000,1352.000000,1340.000000,1347.750000,1347.750000,1377.415000,-1.000000,-0.001334,921853.625171,0.000000,0.001334,1109246.520590,0.000000,891428.004498,0.000000,1114978.181137,0.000000
8/1/2000,1353.150000,1355.000000,1340.000000,1344.000000,1344.000000,1365.210000,-1.000000,-0.002782,919288.645691,0.000000,0.002782,1112332.904899,0.000000,888947.681725,0.000000,1118080.513305,0.000000
8/2/2000,1337.000000,1347.000000,1326.000000,1344.450000,1344.450000,1355.255000,-1.000000,0.000335,919596.443228,0.000000,-0.000335,1111960.472007,0.000000,889245.320458,0.000000,1117706.155990,0.000000
8/3/2000,1340.000000,1350.000000,1330.000000,1330.100000,1330.100000,1345.100000,-1.000000,-0.010674,909781.121751,0.000000,0.010674,1123828.992795,0.000000,879753.951981,0.000000,1129636.003392,0.000000
8/4/2000,1333.000000,1340.000000,1315.000000,1328.050000,1328.050000,1337.145000,-1.000000,-0.001541,908378.932969,0.000000,0.001541,1125561.080183,0.000000,878398.042199,0.000000,1131377.040762,0.000000
8/7/2000,1325.500000,1329.000000,1314.000000,1322.950000,1322.950000,1337.140000,-1.000000,-0.003840,904890.560876,0.000000,0.003840,1129883.478820,0.000000,875024.803228,0.000000,1135721.773949,0.000000
8/8/2000,1328.000000,1358.900000,1328.000000,1353.500000,1353.500000,1337.400000,-1.000000,0.023092,925786.593707,-108344.733242,-0.023092,1103791.834934,108932.438261,895231.166082,-104768.833918,1109495.310217,109495.310217
8/9/2000,1362.000000,1378.000000,1356.050000,1356.100000,1356.100000,1341.325000,1.000000,0.001921,927564.979480,0.000000,0.001921,1105912.159109,0.000000,1001920.945696,0.000000,1001920.945696,0.000000
8/10/2000,1367.000000,1369.900000,1335.050000,1338.000000,1338.000000,1341.445000,1.000000,-0.013347,915184.678523,-10601.915185,-0.013347,1091151.440814,-12640.394120,988548.208349,-11451.791651,988548.208349,-11451.791651
8/11/2000,1328.000000,1332.000000,1315.050000,1317.900000,1317.900000,1338.280000,-1.000000,-0.015022,901436.388509,0.000000,0.015022,1107543.177705,0.000000,984977.578475,0.000000,1015022.421525,0.000000
8/14/2000,1308.000000,1327.700000,1305.000000,1325.200000,1325.200000,1336.025000,-1.000000,0.005539,906429.548564,0.000000,-0.005539,1101408.368390,0.000000,990433.482810,0.000000,1009400.095341,0.000000
8/16/2000,1350.000000,1357.900000,1338.000000,1357.900000,1357.900000,1337.415000,-1.000000,0.024676,928796.169631,13611.491108,-0.024676,1074230.543423,-16920.897392,1014872.944694,14872.944694,984492.622418,-15507.377582
8/17/2000,1356.000000,1368.950000,1341.800000,1343.800000,1343.800000,1337.350000,1.000000,-0.010384,919151.846785,0.000000,-0.010384,1063076.076479,0.000000,989616.319317,0.000000,989616.319317,0.000000
8/18/2000,1349.000000,1364.300000,1349.000000,1364.300000,1364.300000,1340.770000,1.000000,0.015255,933173.734610,0.000000,0.015255,1079293.563879,0.000000,1004713.160027,0.000000,1004713.160027,0.000000
8/21/2000,1373.950000,1375.800000,1365.550000,1374.950000,1374.950000,1345.460000,1.000000,0.007806,940458.276334,0.000000,0.007806,1087718.746358,0.000000,1012556.152883,0.000000,1012556.152883,0.000000
8/22/2000,1383.000000,1389.700000,1375.500000,1381.750000,1381.750000,1351.340000,1.000000,0.004946,945109.439124,0.000000,0.004946,1093098.205593,0.000000,1017563.885411,0.000000,1017563.885411,0.000000
8/23/2000,1389.500000,1395.000000,1380.000000,1384.000000,1384.000000,1354.390000,1.000000,0.001628,946648.426813,0.000000,0.001628,1094878.173722,0.000000,1019220.855733,0.000000,1019220.855733,0.000000
8/24/2000,1374.000000,1385.100000,1374.000000,1382.600000,1382.600000,1357.040000,1.000000,-0.001012,945690.834473,0.000000,-0.001012,1093770.637997,0.000000,1018189.851977,0.000000,1018189.851977,0.000000
8/25/2000,1385.100000,1392.000000,1380.000000,1380.950000,1380.950000,1361.335000,1.000000,-0.001193,944562.243502,0.000000,-0.001193,1092465.328036,0.000000,1016974.740408,0.000000,1016974.740408,0.000000
8/28/2000,1377.950000,1379.000000,1325.000000,1373.000000,1373.000000,1366.845000,1.000000,-0.005757,939124.487004,0.000000,-0.005757,1086176.107312,0.000000,1011120.111938,0.000000,1011120.111938,0.000000
8/29/2000,1369.000000,1369.000000,1360.000000,1366.750000,1366.750000,1371.000000,1.000000,-0.004552,934849.521204,6053.351573,-0.004552,1081231.751398,7001.207975,1006517.416599,6517.416599,1006517.416599,6517.416599
8/30/2000,1377.000000,1377.000000,1370.250000,1374.000000,1374.000000,1372.610000,-1.000000,0.005305,939808.481532,4958.960328,-0.005305,1075496.298537,-5735.452861,1005304.554600,5304.554600,994695.445400,-5304.554600
8/31/2000,1384.500000,1393.900000,1378.900000,1392.350000,1392.350000,1377.465000,1.000000,0.013355,952359.781122,0.000000,0.013355,1089859.731636,0.000000,1013355.167394,0.000000,1013355.167394,0.000000
9/4/2000,1428.000000,1440.000000,1413.000000,1429.000000,1429.000000,1383.935000,1.000000,0.026322,977428.180575,0.000000,0.026322,1118547.460414,0.000000,1040029.112082,0.000000,1040029.112082,0.000000
9/5/2000,1433.000000,1433.500000,1428.250000,1433.000000,1433.000000,1389.740000,1.000000,0.002799,980164.158687,0.000000,0.002799,1121678.454005,0.000000,1042940.320233,0.000000,1042940.320233,0.000000
9/6/2000,1434.000000,1445.000000,1428.000000,1438.300000,1438.300000,1395.395000,1.000000,0.003699,983789.329685,0.000000,0.003699,1125827.020513,0.000000,1046797.671033,0.000000,1046797.671033,0.000000
9/7/2000,1447.000000,1455.000000,1435.000000,1445.700000,1445.700000,1401.565000,1.000000,0.005145,988850.889193,0.000000,0.005145,1131619.358657,0.000000,1052183.406114,0.000000,1052183.406114,0.000000
9/8/2000,1451.800000,1474.000000,1448.000000,1471.700000,1471.700000,1410.475000,1.000000,0.017984,1006634.746922,0.000000,0.017984,1151970.816999,0.000000,1071106.259098,0.000000,1071106.259098,0.000000
9/11/2000,1457.000000,1468.000000,1453.100000,1454.450000,1454.450000,1417.825000,1.000000,-0.011721,994835.841313,0.000000,-0.011721,1138468.407137,0.000000,1058551.673945,0.000000,1058551.673945,0.000000
9/12/2000,1460.000000,1474.000000,1448.000000,1471.700000,1471.700000,1427.695000,1.000000,0.011860,1006634.746922,0.000000,0.011860,1151970.816999,0.000000,1071106.259098,0.000000,1071106.259098,0.000000
